OccNo,VesselFlag,YearBuilt,Gross Tonnage,Vessel Type,Vessel Sub Type,Month,Accident Region,Latitude,Logitude,Area Type,Fatalities,Serious Injuries,Vessel Phase,Vessel Sub Phase,Accident Type,Accident Sub Type
M04C0001,CANADA,1974,UPTO 100,OTHER,PASSENGER,Jan,CENTRAL REGION,44.21912,-70.20833,HARBOUR,0,0,NOT MOVING,DOCKED,ACCIDENT,EXPLOSION
M04C0002,CANADA,1985,UPTO 100,TUG,SERVICE,Feb,CENTRAL REGION,43.63611,-79.35,HARBOUR,0,0,NOT MOVING,DOCKED,ACCIDENT,SANK
M04C0003,CANADA,1976,UPTO 100000,CARGO,SOLID CARGO,Mar,CENTRAL REGION,42.26666,-80.31666,LAKE,0,0,MOVING,AHEAD,ACCIDENT,EXPLOSION
M04C0005,CANADA,1943,UPTO 100000,CARGO,SOLID CARGO,Mar,CENTRAL REGION,42.02502,-82.73086,HARBOUR,0,0,MOVING,AHEAD,INCIDENT,TOTAL FAILURE OF MACHINERY
M04C0007,CANADA,1968,UPTO 10000,BARGE,SOLID CARGO,Apr,CENTRAL REGION,43.19687,-79.20427,CHANNEL,0,0,MOVING,TOWED,INCIDENT,RISK OF BOTTOM CONTACT
M04C0007,CANADA,1973,UPTO 10000,BARGE,SOLID CARGO,Apr,CENTRAL REGION,43.19687,-79.20427,CHANNEL,0,0,MOVING,TOWED,INCIDENT,RISK OF BOTTOM CONTACT
M04C0008,CYPRUS,2000,UPTO 100000,CARGO,SOLID CARGO,Apr,CENTRAL REGION,43.20432,-79.20847,CHANNEL,0,0,MOVING,AHEAD,ACCIDENT,COLLISION
M04C0009,CANADA,1985,UPTO 1000,BARGE,LIQUID CARGO,Mar,CENTRAL REGION,46.30392,-84.04069,RIVER,0,0,MOVING,DRIFT,INCIDENT,RISK OF COLLISION
M04C0010,ANTIGUA AND BARBUDA,1985,UPTO 10000,CARGO,SOLID CARGO,Apr,CENTRAL REGION,42.05611,-83.12916,CHANNEL,0,0,MOVING,AHEAD,INCIDENT,TOTAL FAILURE OF MACHINERY
M04C0011,CANADA,1992,UPTO 10000,PASSENGER,PASSENGER - CARGO,Apr,CENTRAL REGION,42.02404,-82.59918,HARBOUR,0,0,MOVING,AHEAD,ACCIDENT,COLLISION
M04C0012,CANADA,1961,UPTO 10000,CARGO,SOLID CARGO,Apr,CENTRAL REGION,43.27802,-79.86442,HARBOUR,0,0,MOVING,AHEAD,ACCIDENT,COLLISION
M04C0013,PANAMA,1985,UPTO 10000,CARGO,SOLID CARGO,May,CENTRAL REGION,43.19857,-79.20538,CHANNEL,0,0,MOVING,AHEAD,ACCIDENT,COLLISION
M04C0014,CANADA,1967,UPTO 100000,CARGO,SOLID CARGO,Apr,CENTRAL REGION,45.45083,-73.50166,CHANNEL,0,0,MOVING,AHEAD,INCIDENT,RISK OF BOTTOM CONTACT
M04C0015,CANADA,1973,UPTO 1000,TUG,SERVICE,May,CENTRAL REGION,45.98137,-81.92202,CHANNEL,0,0,MOVING,AHEAD,INCIDENT,RISK OF BOTTOM CONTACT
M04C0016,GREECE,1986,UPTO 100000,CARGO,SOLID CARGO,May,CENTRAL REGION,45.41011,-73.55493,CHANNEL,0,0,MOVING,AHEAD,ACCIDENT,COLLISION
M04C0017,CANADA,1961,UPTO 10000,CARGO,SOLID CARGO,May,CENTRAL REGION,42.92806,-79.23974,CHANNEL,0,0,MOVING,AHEAD,ACCIDENT,COLLISION
M04C0018,CANADA,1985,UPTO 100,TUG,SERVICE,Jun,CENTRAL REGION,51.73333,-96.83333,LAKE,0,0,MOVING,AHEAD,ACCIDENT,EXPLOSION
M04C0019,CANADA,1985,UPTO 1000,TUG,SERVICE,Jun,CENTRAL REGION,45.41666,-74,LAKE,0,0,MOVING,AHEAD,INCIDENT,RISK OF BOTTOM CONTACT
M04C0020,CANADA,1985,UPTO 1000,FISHING,FISHING,Jun,CENTRAL REGION,42.06076,-82.46407,HARBOUR,0,0,MOVING,AHEAD,INCIDENT,RISK OF BOTTOM CONTACT
M04C0021,CANADA,1979,UPTO 100000,CARGO,SOLID CARGO,Jun,CENTRAL REGION,42.85,-82.51666,RIVER,0,0,MOVING,AHEAD,INCIDENT,TOTAL FAILURE OF MACHINERY
M04C0022,UNITED STATES - US,1977,UPTO 100000,CARGO,SOLID CARGO,Jun,CENTRAL REGION,42.8,-82.47944,RIVER,0,0,MOVING,AHEAD,ACCIDENT,COLLISION
M04C0022,UNITED STATES - US,1985,UPTO 100000,CARGO,SOLID CARGO,Jun,CENTRAL REGION,42.8,-82.47944,RIVER,0,0,MOVING,AHEAD,ACCIDENT,COLLISION
M04C0023,CANADA,1961,UPTO 10000,CARGO,SOLID CARGO,Jun,CENTRAL REGION,43.24444,-79.21666,CHANNEL,0,0,MOVING,AHEAD,INCIDENT,TOTAL FAILURE OF MACHINERY
M04C0024,CYPRUS,1985,UPTO 100000,CARGO,SOLID CARGO,May,CENTRAL REGION,45.31666,-73.91666,CHANNEL,0,0,MOVING,AHEAD,INCIDENT,RISK OF COLLISION
M04C0024,FRANCE,1998,UPTO 100000,CARGO,SOLID CARGO,May,CENTRAL REGION,45.31666,-73.91666,CHANNEL,0,0,MOVING,AHEAD,INCIDENT,RISK OF COLLISION
M04C0025,CANADA,1952,UPTO 100000,CARGO,SOLID CARGO,Jun,CENTRAL REGION,43.97333,-77.87666,HARBOUR,0,0,MOVING,ASTERN,ACCIDENT,COLLISION
M04C0026,CANADA,1985,UPTO 1000,BARGE,LIQUID CARGO,May,CENTRAL REGION,46.31333,-83.94472,CHANNEL,0,0,MOVING,DRIFT,ACCIDENT,GROUNDING
M04C0027,CANADA,1971,UPTO 100000,CARGO,SOLID CARGO,Jul,CENTRAL REGION,43.5,-76,LAKE,0,0,MOVING,AHEAD,INCIDENT,RISK OF PERSON OVERBOARD
M04C0028,CANADA,1963,UPTO 100000,CARGO,SOLID CARGO,Jul,CENTRAL REGION,46.49666,-84.31166,RIVER,0,0,MOVING,AHEAD,INCIDENT,RISK OF BOTTOM CONTACT
M04C0029,BAHAMAS,2003,UPTO 10000,CARGO,SOLID CARGO,Jul,CENTRAL REGION,43.63333,-79.35,HARBOUR,0,0,MOVING,AHEAD,ACCIDENT,COLLISION
M04C0030,BAHAMAS,2003,UPTO 10000,CARGO,SOLID CARGO,Jul,CENTRAL REGION,43.63333,-79.35,HARBOUR,0,0,MOVING,AHEAD,ACCIDENT,COLLISION
M04C0031,BARBADOS,1983,UPTO 100000,CARGO,SOLID CARGO,Jun,CENTRAL REGION,43.16009,-79.19398,CHANNEL,0,0,MOVING,AHEAD,ACCIDENT,COLLISION
M04C0032,CANADA,1968,UPTO 100000,CARGO,SOLID CARGO,Aug,CENTRAL REGION,45.41099,-73.71963,CHANNEL,0,0,MOVING,AHEAD,ACCIDENT,GROUNDING
M04C0032,CANADA,1968,UPTO 100000,CARGO,SOLID CARGO,Aug,CENTRAL REGION,45.41099,-73.71963,CHANNEL,0,0,MOVING,AHEAD,ACCIDENT,GROUNDING
M04C0033,CANADA,1963,UPTO 100000,CARGO,SOLID CARGO,Aug,CENTRAL REGION,42.69716,-82.49101,RIVER,0,0,MOVING,AHEAD,ACCIDENT,GROUNDING
M04C0034,CYPRUS,1985,UPTO 100000,CARGO,SOLID CARGO,May,CENTRAL REGION,43.22216,-79.21492,DOCK,0,0,MOVING,AHEAD,ACCIDENT,COLLISION
M04C0036,CANADA,1959,UPTO 10000,CARGO,SOLID CARGO,Jul,CENTRAL REGION,45.40777,-73.58722,RIVER,0,0,NOT MOVING,DOCKED,ACCIDENT,EXPLOSION
M04C0037,BARBADOS,1997,UPTO 100000,CARGO,SOLID CARGO,Aug,CENTRAL REGION,44.83166,-75.31,DOCK,0,0,MOVING,AHEAD,ACCIDENT,COLLISION
M04C0038,CANADA,2000,UPTO 100,PASSENGER,PASSENGER,Jul,CENTRAL REGION,43.06268,-79.04181,DOCK,0,0,MOVING,AHEAD,ACCIDENT,GROUNDING
M04C0039,CANADA,1943,UPTO 100000,CARGO,SOLID CARGO,Aug,CENTRAL REGION,43.2775,-79.85567,HARBOUR,0,0,NOT MOVING,DOCKED,INCIDENT,RISK OF PERSON OVERBOARD
M04C0040,CANADA,1985,UPTO 1000,OTHER,SERVICE,Aug,CENTRAL REGION,44.23367,-79.50468,BAY,2,0,MOVING,AHEAD,ACCIDENT,CAPSIZES
M04C0041,CANADA,1993,UPTO 10000,CARGO,LIQUID CARGO,Aug,CENTRAL REGION,42.86666,-79.25,HARBOUR,0,0,NOT MOVING,DOCKED,ACCIDENT,COLLISION
M04C0042,ANTIGUA AND BARBUDA,1985,UPTO 100000,CARGO,SOLID CARGO,Aug,CENTRAL REGION,45.21867,-74.08549,CHANNEL,0,0,MOVING,AHEAD,INCIDENT,RISK OF COLLISION
M04C0042,CANADA,1985,UPTO 100000,CARGO,SOLID CARGO,Aug,CENTRAL REGION,45.21867,-74.08549,CHANNEL,0,0,MOVING,AHEAD,INCIDENT,RISK OF COLLISION
M04C0043,CANADA,1985,UPTO 100,BARGE,LIQUID CARGO,Aug,CENTRAL REGION,44.11666,-76.86666,CHANNEL,0,0,MOVING,TOWED,ACCIDENT,COLLISION
M04C0043,CANADA,1985,UPTO 100,BARGE,LIQUID CARGO,Aug,CENTRAL REGION,44.11666,-76.86666,CHANNEL,0,0,MOVING,TOWED,ACCIDENT,COLLISION
M04C0044,UNITED STATES - US,1962,UPTO 10000,BARGE,SOLID CARGO,Sep,CENTRAL REGION,42.03888,-83.135,CHANNEL,0,0,MOVING,TOWED,ACCIDENT,COLLISION
M04C0045,LIBERIA,1985,UPTO 1000,CARGO,LIQUID CARGO,Sep,CENTRAL REGION,43.20138,-79.20713,CHANNEL,0,0,MOVING,AHEAD,INCIDENT,TOTAL FAILURE OF MACHINERY
M04C0046,CANADA,1957,UPTO 1000,OTHER,PASSENGER,Sep,CENTRAL REGION,44.81666,-80.16666,HARBOUR,0,0,MOVING,AHEAD,ACCIDENT,COLLISION
M04C0047,CANADA,1985,UPTO 100,TUG,SERVICE,Sep,CENTRAL REGION,48.35138,-89.20666,HARBOUR,0,0,MOVING,AHEAD,ACCIDENT,COLLISION
M04C0048,CANADA,1968,UPTO 100000,CARGO,SOLID CARGO,Sep,CENTRAL REGION,46.29166,-84.11666,RIVER,0,0,MOVING,AHEAD,INCIDENT,TOTAL FAILURE OF MACHINERY
M04C0049,CANADA,1982,UPTO 100000,CARGO,SOLID CARGO,Aug,CENTRAL REGION,46.41666,-84.23333,RIVER,0,1,MOVING,AHEAD,ACCIDENT,PERSON SERIOUSLY INJURED OR KILLED
M04C0050,CANADA,1943,UPTO 1000,PASSENGER,PASSENGER - CARGO,Sep,CENTRAL REGION,43.61388,-79.35194,HARBOUR,0,0,MOVING,AHEAD,ACCIDENT,PERSON SERIOUSLY INJURED OR KILLED
M04C0052,CANADA,1974,UPTO 100000,CARGO,SOLID CARGO,Sep,CENTRAL REGION,44.31666,-82.535,LAKE,0,1,MOVING,AHEAD,ACCIDENT,PERSON SERIOUSLY INJURED OR KILLED
M04C0053,THAILAND,1985,UPTO 1000,CARGO,SOLID CARGO,Oct,CENTRAL REGION,43.15794,-79.19392,DOCK,0,0,MOVING,AHEAD,ACCIDENT,COLLISION
M04C0054,UNITED STATES - US,1985,UPTO 1000,PASSENGER,PASSENGER - CARGO,Oct,CENTRAL REGION,46.50833,-84.38333,RIVER,0,0,MOVING,AHEAD,ACCIDENT,GROUNDING
M04C0055,CANADA,1965,UPTO 10000,CARGO,SOLID CARGO,Oct,CENTRAL REGION,43.85333,-76.905,LAKE,0,0,MOVING,AHEAD,ACCIDENT,EXPLOSION
M04C0056,CANADA,1980,UPTO 100,PASSENGER,PASSENGER - CARGO,Oct,CENTRAL REGION,44.19861,-76.59527,CHANNEL,0,0,MOVING,AHEAD,ACCIDENT,GROUNDING
M04C0057,CANADA,1943,UPTO 100000,CARGO,SOLID CARGO,Oct,CENTRAL REGION,43.01666,-82.46666,RIVER,0,0,MOVING,AHEAD,INCIDENT,TOTAL FAILURE OF MACHINERY
M04C0058,GIBRALTAR,1977,UPTO 100000,CARGO,SOLID CARGO,Oct,CENTRAL REGION,45.155,-74.37305,RIVER,0,0,MOVING,AHEAD,ACCIDENT,GROUNDING
M04C0059,CHINA (MACAO S.A.R),1983,UPTO 100000,CARGO,SOLID CARGO,Oct,CENTRAL REGION,42.96666,-82.41666,RIVER,0,0,MOVING,AHEAD,INCIDENT,TOTAL FAILURE OF MACHINERY
M04C0060,CANADA,1992,UPTO 10000,PASSENGER,PASSENGER - CARGO,Oct,CENTRAL REGION,42.02577,-82.73033,HARBOUR,0,0,MOVING,AHEAD,ACCIDENT,GROUNDING
M04C0062,CANADA,1970,UPTO 1000,TUG,SERVICE,Oct,CENTRAL REGION,45.29472,-73.93138,CHANNEL,0,0,MOVING,AHEAD,ACCIDENT,UNFIT
M04C0063,CANADA,1964,UPTO 100000,CARGO,SOLID CARGO,Oct,CENTRAL REGION,43.345,-79.59166,LAKE,0,1,MOVING,AHEAD,ACCIDENT,PERSON SERIOUSLY INJURED OR KILLED
M04C0064,BAHAMAS,1986,UPTO 100000,CARGO,SOLID CARGO,Oct,CENTRAL REGION,45.41583,-73.6725,CHANNEL,0,0,MOVING,AHEAD,INCIDENT,RISK OF BOTTOM CONTACT
M04C0065,CANADA,1985,UPTO 100,TUG,SERVICE,Jul,CENTRAL REGION,44.21666,-76.51666,HARBOUR,0,0,MOVING,AHEAD,ACCIDENT,COLLISION
M04C0066,CANADA,1977,UPTO 100000,CARGO,SOLID CARGO,Oct,CENTRAL REGION,43.08046,-79.21008,CHANNEL,0,0,MOVING,AHEAD,ACCIDENT,COLLISION
M04C0067,NETHERLANDS,1988,UPTO 10000,CARGO,SOLID CARGO,Oct,CENTRAL REGION,66.15,-65.73333,HARBOUR,0,1,NOT MOVING,DOCKED,ACCIDENT,PERSON SERIOUSLY INJURED OR KILLED
M04C0068,CANADA,1985,UPTO 1000,FISHING,FISHING,Oct,CENTRAL REGION,50.59027,-96.91027,LAKE,0,0,MOVING,AHEAD,ACCIDENT,CAPSIZES
M04C0069,CANADA,1985,UPTO 1000,FISHING,FISHING,Oct,CENTRAL REGION,51.74111,-96.91083,LAKE,1,0,MOVING,AHEAD,ACCIDENT,CAPSIZES
M04C0070,CANADA,1987,UPTO 1000,TUG,SERVICE,Oct,CENTRAL REGION,43.7075,-79.22527,LAKE,0,0,MOVING,AHEAD,ACCIDENT,SANK
M04C0071,CANADA,1964,UPTO 100000,CARGO,SOLID CARGO,Oct,CENTRAL REGION,43.1287,-79.19308,CHANNEL,0,0,MOVING,AHEAD,ACCIDENT,COLLISION
M04C0072,NETHERLANDS,1999,UPTO 10000,CARGO,SOLID CARGO,Sep,CENTRAL REGION,45.45361,-73.50166,CHANNEL,0,0,MOVING,AHEAD,INCIDENT,RISK OF BOTTOM CONTACT
M04C0072,NETHERLANDS,1999,UPTO 10000,CARGO,SOLID CARGO,Sep,CENTRAL REGION,45.45361,-73.50166,CHANNEL,0,0,MOVING,AHEAD,INCIDENT,RISK OF BOTTOM CONTACT
M04C0073,CANADA,1985,UPTO 1000,TUG,SERVICE,Aug,CENTRAL REGION,48.37532,-89.19729,HARBOUR,0,0,MOVING,AHEAD,ACCIDENT,COLLISION
M04C0073,CANADA,1985,UPTO 1000,TUG,SERVICE,Aug,CENTRAL REGION,48.37532,-89.19729,HARBOUR,0,0,MOVING,AHEAD,ACCIDENT,COLLISION
M04C0074,CANADA,1943,UPTO 100000,CARGO,SOLID CARGO,Oct,CENTRAL REGION,43.21694,-79.2133,CHANNEL,0,0,MOVING,AHEAD,ACCIDENT,COLLISION
M04C0075,CANADA,1993,UPTO 100,TUG,SERVICE,Nov,CENTRAL REGION,45.64216,-74.89686,RIVER,0,0,MOVING,AHEAD,ACCIDENT,CAPSIZES
M04C0076,CANADA,1976,UPTO 100000,CARGO,SOLID CARGO,Nov,CENTRAL REGION,46.725,-84.99694,LAKE,0,0,NOT MOVING,ANCHORED,ACCIDENT,UNFIT
M04C0077,NORWAY,1967,UPTO 10000,CARGO,SOLID CARGO,Nov,CENTRAL REGION,45.31833,-73.91666,CHANNEL,0,0,MOVING,AHEAD,ACCIDENT,COLLISION
M04C0079,CANADA,1964,UPTO 100000,CARGO,SOLID CARGO,Nov,CENTRAL REGION,42.9,-72.25,CHANNEL,0,1,MOVING,AHEAD,ACCIDENT,PERSON SERIOUSLY INJURED OR KILLED
M04C0080,CANADA,1985,UPTO 1000,BARGE,LIQUID CARGO,Nov,CENTRAL REGION,43.2772,-79.85485,HARBOUR,0,0,NOT MOVING,ANCHORED,ACCIDENT,EXPLOSION
M04C0081,CANADA,1966,UPTO 10000,BARGE,LIQUID CARGO,Nov,CENTRAL REGION,45.01333,-74.65833,RIVER,0,0,MOVING,TOWED,ACCIDENT,UNFIT
M04C0082,BAHAMAS,1986,UPTO 100000,CARGO,SOLID CARGO,Nov,CENTRAL REGION,43.25,-79.3,CHANNEL,0,0,MOVING,AHEAD,ACCIDENT,COLLISION
M04C0083,UNITED STATES - US,1985,UPTO 100,TUG,SERVICE,Nov,CENTRAL REGION,43.91666,-76.93333,LAKE,0,0,MOVING,AHEAD,ACCIDENT,GROUNDING
M04C0084,XXXX,1985,UPTO 100000,CARGO,SOLID CARGO,Nov,CENTRAL REGION,43.27788,-79.85709,HARBOUR,0,0,MOVING,AHEAD,ACCIDENT,COLLISION
M04C0085,POLAND,1984,UPTO 100000,CARGO,SOLID CARGO,Nov,CENTRAL REGION,45.22666,-74.12,CHANNEL,0,0,MOVING,AHEAD,INCIDENT,TOTAL FAILURE OF MACHINERY
M04C0086,TURKEY,1985,UPTO 100000,CARGO,SOLID CARGO,Nov,CENTRAL REGION,42.33333,-83.16666,HARBOUR,0,0,MOVING,AHEAD,ACCIDENT,COLLISION
M04C0087,CANADA,1959,UPTO 100000,BARGE,SOLID CARGO,Nov,CENTRAL REGION,48.38832,-89.2308,HARBOUR,0,1,NOT MOVING,DOCKED,ACCIDENT,PERSON SERIOUSLY INJURED OR KILLED
M04C0088,CANADA,1967,UPTO 100000,CARGO,SOLID CARGO,Dec,CENTRAL REGION,45.29944,-73.92888,CHANNEL,0,1,MOVING,AHEAD,ACCIDENT,PERSON SERIOUSLY INJURED OR KILLED
M04C0089,CANADA,1982,UPTO 100000,CARGO,SOLID CARGO,Nov,CENTRAL REGION,42.1425,-83.12108,CHANNEL,0,0,MOVING,AHEAD,INCIDENT,RISK OF BOTTOM CONTACT
M04C0090,CANADA,1985,UPTO 1000,OTHER,PASSENGER,Dec,CENTRAL REGION,44.89166,-79.90833,BAY,1,0,MOVING,AHEAD,ACCIDENT,CAPSIZES
M04C0091,BAHAMAS,1986,UPTO 100000,CARGO,SOLID CARGO,Dec,CENTRAL REGION,45.29944,-73.92888,CHANNEL,0,0,MOVING,AHEAD,ACCIDENT,COLLISION
M04C0092,CANADA,1982,UPTO 100000,CARGO,SOLID CARGO,Dec,CENTRAL REGION,46.33333,-84.2,CHANNEL,0,0,MOVING,AHEAD,ACCIDENT,GROUNDING
M04C0093,CANADA,1963,UPTO 100000,CARGO,SOLID CARGO,Dec,CENTRAL REGION,43.64194,-79.36944,HARBOUR,0,0,MOVING,AHEAD,ACCIDENT,COLLISION
M04C0094,CANADA,1981,UPTO 100000,CARGO,SOLID CARGO,Dec,CENTRAL REGION,43.975,-76.90416,BAY,0,0,MOVING,DRIFT,ACCIDENT,UNFIT
M04C0095,NETHERLANDS,1989,UPTO 10000,CARGO,SOLID CARGO,Nov,CENTRAL REGION,45.30611,-73.90833,DOCK,0,0,MOVING,AHEAD,ACCIDENT,COLLISION
M04C0096,CANADA,1969,UPTO 1000,TUG,SERVICE,Nov,CENTRAL REGION,41.86666,-82.245,LAKE,0,0,MOVING,AHEAD,INCIDENT,TOTAL FAILURE OF MACHINERY
M04C0096,CANADA,1985,UPTO 1000,TUG,SERVICE,Nov,CENTRAL REGION,41.86666,-82.245,LAKE,0,0,MOVING,AHEAD,INCIDENT,TOTAL FAILURE OF MACHINERY
M04F0001,CANADA,1966,UPTO 10000,CARGO,LIQUID CARGO,Jan,FOREIGN WATERS,45.81666,-84.96666,LAKE,0,0,MOVING,AHEAD,INCIDENT,TOTAL FAILURE OF MACHINERY
M04F0003,CANADA,1976,UPTO 10000,CARGO,LIQUID CARGO,Jan,FOREIGN WATERS,39.975,-72.955,SEA,0,0,MOVING,AHEAD,ACCIDENT,EXPLOSION
M04F0007,CANADA,1969,UPTO 1000,TUG,SERVICE,Feb,FOREIGN WATERS,47.65,-122.3,RIVER,0,0,MOVING,AHEAD,ACCIDENT,COLLISION
M04F0008,CANADA,1981,UPTO 100000,CARGO,SOLID CARGO,Mar,FOREIGN WATERS,41.45,-82.71666,HARBOUR,0,0,MOVING,AHEAD,INCIDENT,TOTAL FAILURE OF MACHINERY
M04F0009,CANADA,1985,UPTO 100000,CARGO,SOLID CARGO,Apr,FOREIGN WATERS,41.65,-83.53333,HARBOUR,0,1,MOVING,AHEAD,ACCIDENT,PERSON SERIOUSLY INJURED OR KILLED
M04F0010,CANADA,1970,UPTO 10000,TUG,SERVICE,Apr,FOREIGN WATERS,42.76605,-82.4682,HARBOUR,0,0,MOVING,AHEAD,ACCIDENT,COLLISION
M04F0010,CANADA,1942,UPTO 10000,TUG,SERVICE,Apr,FOREIGN WATERS,42.76605,-82.4682,HARBOUR,0,0,MOVING,AHEAD,ACCIDENT,COLLISION
M04F0011,CANADA,1989,UPTO 1000,FISHING,FISHING,Apr,FOREIGN WATERS,44.43027,-56.03805,SEA,0,0,MOVING,AHEAD,ACCIDENT,UNFIT
M04F0012,CANADA,1971,UPTO 100000,BARGE,LIQUID CARGO,May,FOREIGN WATERS,-0.058333,-51.08333,RIVER,0,0,MOVING,TOWED,ACCIDENT,EXPLOSION
M04F0013,CANADA,1972,UPTO 1000,CARGO,SOLID CARGO,Jun,FOREIGN WATERS,44.26666,-45.24166,SEA,0,1,MOVING,AHEAD,ACCIDENT,PERSON SERIOUSLY INJURED OR KILLED
M04F0014,CANADA,1966,UPTO 100000,CARGO,SOLID CARGO,Jun,FOREIGN WATERS,41.63333,-83.5,HARBOUR,0,0,MOVING,AHEAD,ACCIDENT,COLLISION
M04F0015,CANADA,1985,UPTO 1000,TUG,SERVICE,Jun,FOREIGN WATERS,42.21111,-83.13805,RIVER,0,0,MOVING,AHEAD,ACCIDENT,GROUNDING
M04F0016,CANADA,1936,UPTO 1000,TUG,SERVICE,Jul,FOREIGN WATERS,42.65833,-82.52777,RIVER,0,0,MOVING,AHEAD,ACCIDENT,GROUNDING
M04F0016,CANADA,1942,UPTO 1000,TUG,SERVICE,Jul,FOREIGN WATERS,42.65833,-82.52777,RIVER,0,0,MOVING,AHEAD,ACCIDENT,GROUNDING
M04F0016,CANADA,1942,UPTO 1000,TUG,SERVICE,Jul,FOREIGN WATERS,42.65833,-82.52777,RIVER,0,0,MOVING,AHEAD,ACCIDENT,GROUNDING
M04F0017,CANADA,1968,UPTO 10000,BARGE,SOLID CARGO,Jul,FOREIGN WATERS,44.34027,-75.925,RIVER,0,0,MOVING,AHEAD,ACCIDENT,GROUNDING
M04F0018,CANADA,1965,UPTO 100000,CARGO,SOLID CARGO,Aug,FOREIGN WATERS,43.48666,-83.93,CHANNEL,0,0,MOVING,AHEAD,ACCIDENT,GROUNDING
M04F0019,CANADA,1968,UPTO 100000,CARGO,SOLID CARGO,Aug,FOREIGN WATERS,41.49666,-81.69166,RIVER,0,0,MOVING,AHEAD,ACCIDENT,COLLISION
M04F0019,UNITED STATES - US,1985,UPTO 100000,CARGO,SOLID CARGO,Aug,FOREIGN WATERS,41.49666,-81.69166,RIVER,0,0,MOVING,AHEAD,ACCIDENT,COLLISION
M04F0019,UNITED STATES - US,1985,UPTO 100000,CARGO,SOLID CARGO,Aug,FOREIGN WATERS,41.49666,-81.69166,RIVER,0,0,MOVING,AHEAD,ACCIDENT,COLLISION
M04F0019,UNITED STATES - US,1985,UPTO 100000,CARGO,SOLID CARGO,Aug,FOREIGN WATERS,41.49666,-81.69166,RIVER,0,0,MOVING,AHEAD,ACCIDENT,COLLISION
M04F0020,CANADA,1961,UPTO 10000,CARGO,SOLID CARGO,Aug,FOREIGN WATERS,41.82888,-83.1425,RIVER,0,0,NOT MOVING,ANCHORED,ACCIDENT,UNFIT
M04F0021,CANADA,1970,UPTO 100000,CARGO,SOLID CARGO,Aug,FOREIGN WATERS,4.515555,-82.83333,CHANNEL,0,0,MOVING,AHEAD,INCIDENT,RISK OF COLLISION
M04F0021,UNITED STATES - US,1985,UPTO 100000,CARGO,SOLID CARGO,Aug,FOREIGN WATERS,4.515555,-82.83333,CHANNEL,0,0,MOVING,AHEAD,INCIDENT,RISK OF COLLISION
M04F0024,CANADA,1963,UPTO 100000,CARGO,SOLID CARGO,Oct,FOREIGN WATERS,41.89,-87.59,HARBOUR,0,0,MOVING,AHEAD,ACCIDENT,COLLISION
M04F0026,CANADA,1959,UPTO 100000,BARGE,SOLID CARGO,Aug,FOREIGN WATERS,46.50094,-84.33122,DOCK,0,0,MOVING,AHEAD,ACCIDENT,COLLISION
M04F0027,CANADA,1972,UPTO 100000,CARGO,SOLID CARGO,Nov,FOREIGN WATERS,45.95,-85.87666,HARBOUR,0,0,MOVING,AHEAD,ACCIDENT,GROUNDING
M04F0030,CANADA,1967,UPTO 100000,CARGO,SOLID CARGO,Dec,FOREIGN WATERS,42.5,-83.05,CHANNEL,0,0,MOVING,AHEAD,INCIDENT,TOTAL FAILURE OF MACHINERY
M04F0033,CANADA,1971,UPTO 100000,BARGE,LIQUID CARGO,Nov,FOREIGN WATERS,32.10333,-81.00444,RIVER,0,0,MOVING,TOWED,ACCIDENT,GROUNDING
M04H0001,CANADA,1987,UPTO 1000,FISHING,FISHING,Jun,CENTRAL REGION,67.53333,-58.13333,SEA,1,0,MOVING,AHEAD,ACCIDENT,PERSON SERIOUSLY INJURED OR KILLED
M04H0002,CANADA,1977,UPTO 100000,CARGO,LIQUID CARGO,Jul,CENTRAL REGION,61.39444,-67.00555,SEA,0,0,MOVING,AHEAD,ACCIDENT,UNFIT
M04H0003,CANADA,1979,UPTO 1000,TUG,SERVICE,Jul,PACIFIC REGION,61.29138,-117.6019,RIVER,0,0,MOVING,AHEAD,INCIDENT,RISK OF BOTTOM CONTACT
M04H0005,CANADA,1988,UPTO 1000,TUG,SERVICE,Aug,PACIFIC REGION,65.71666,-128.7666,RIVER,0,0,MOVING,AHEAD,ACCIDENT,GROUNDING
M04H0006,CANADA,1979,UPTO 1000,TUG,SERVICE,Sep,PACIFIC REGION,65.29638,-127.0608,RIVER,0,0,MOVING,AHEAD,ACCIDENT,COLLISION
M04H0007,CANADA,1978,UPTO 10000,TUG,SERVICE,Aug,CENTRAL REGION,70.58333,-122.6166,SEA,0,0,MOVING,AHEAD,ACCIDENT,EXPLOSION
M04H0008,CANADA,1996,UPTO 10000,BARGE,LIQUID CARGO,Sep,PACIFIC REGION,61.36591,-117.6938,RIVER,0,0,MOVING,AHEAD,ACCIDENT,GROUNDING
M04H0008,CANADA,1970,UPTO 10000,BARGE,LIQUID CARGO,Sep,PACIFIC REGION,61.36591,-117.6938,RIVER,0,0,MOVING,AHEAD,ACCIDENT,GROUNDING
M04H0009,CANADA,1986,UPTO 100000,CARGO,SOLID CARGO,Sep,CENTRAL REGION,74.5,-95,BAY,0,0,MOVING,AHEAD,INCIDENT,RISK OF BOTTOM CONTACT
M04H0011,CANADA,1978,UPTO 10000,TUG,SERVICE,Sep,CENTRAL REGION,60.00833,-69.625,BAY,0,0,NOT MOVING,ANCHORED,ACCIDENT,COLLISION
