OccNo,VesselFlag,YearBuilt,Gross Tonnage,Vessel Type,Vessel Sub Type,Month,Accident Region,Latitude,Logitude,Area Type,Fatalities,Serious Injuries,Vessel Phase,Vessel Sub Phase,Accident Type,Accident Sub Type
M17A0417,CANADA,2004,UPTO 100,FISHING,FISHING,Oct,ATLANTIC REGION,42.9105,-65.4971,SEA,0,0,MOVING,AHEAD,INCIDENT,TOTAL FAILURE OF MACHINERY
M17A0418,CANADA,2009,UPTO 1000,FISHING,FISHING,Oct,ATLANTIC REGION,44.89833,-57.035,SEA,0,0,MOVING,AHEAD,INCIDENT,TOTAL FAILURE OF MACHINERY
M17A0419,CANADA,1985,UPTO 100,FISHING,FISHING,Nov,ATLANTIC REGION,47.25,-54.0333,SEA,0,0,MOVING,AHEAD,INCIDENT,TOTAL FAILURE OF MACHINERY
M17A0420,CANADA,1988,UPTO 100,FISHING,FISHING,Nov,ATLANTIC REGION,45.26333,-65.725,BAY,0,0,MOVING,AHEAD,INCIDENT,TOTAL FAILURE OF MACHINERY
M17A0421,CANADA,1985,UPTO 1000,FISHING,FISHING,Nov,ATLANTIC REGION,44.28183,-66.1905,BAY,0,0,MOVING,AHEAD,INCIDENT,TOTAL FAILURE OF MACHINERY
M17A0422,CANADA,1979,UPTO 100,FISHING,FISHING,Nov,ATLANTIC REGION,49.51666,-57.9,BAY,0,0,MOVING,AHEAD,INCIDENT,TOTAL FAILURE OF MACHINERY
M17A0423,CANADA,1999,UPTO 100,FISHING,FISHING,Nov,ATLANTIC REGION,44.615,-64.0576,BAY,0,0,MOVING,MANUEVERING,ACCIDENT,GROUNDING
M17A0423,CANADA,1999,UPTO 100,FISHING,FISHING,Nov,ATLANTIC REGION,44.615,-64.0576,BAY,0,0,MOVING,MANUEVERING,ACCIDENT,GROUNDING
M17A0424,CANADA,1980,UPTO 100,FISHING,FISHING,Nov,ATLANTIC REGION,44.68583,-66.2211,BAY,0,0,MOVING,AHEAD,INCIDENT,TOTAL FAILURE OF MACHINERY
M17A0425,LIBERIA,1985,UPTO 100000,OTHER,SERVICE,Nov,ATLANTIC REGION,44.64633,-63.5486,HARBOUR,0,0,NOT MOVING,DOCKED,ACCIDENT,EXPLOSION
M17A0426,XXXX,1985,UPTO 1000,OTHER,PASSENGER,Nov,ATLANTIC REGION,44.04166,-64.665,SEA,0,0,MOVING,AHEAD,INCIDENT,TOTAL FAILURE OF MACHINERY
M17A0427,CANADA,2006,UPTO 100,FISHING,FISHING,Nov,ATLANTIC REGION,43.6035,-65.1545,SEA,0,0,MOVING,AHEAD,INCIDENT,RISK OF SINKING
M17A0428,CANADA,2004,UPTO 100,FISHING,FISHING,Nov,ATLANTIC REGION,44.62816,-66.8523,SEA,0,0,MOVING,AHEAD,ACCIDENT,GROUNDING
M17A0429,CANADA,1987,UPTO 10000,TUG,SERVICE,Nov,ATLANTIC REGION,51.5,-55.4773,HARBOUR,0,0,MOVING,MANUEVERING,INCIDENT,RISK OF BOTTOM CONTACT
M17A0430,CANADA,1985,UPTO 100,FISHING,FISHING,Nov,ATLANTIC REGION,44.8725,-66.3,BAY,0,0,MOVING,AHEAD,INCIDENT,TOTAL FAILURE OF MACHINERY
M17A0433,PANAMA,2002,UPTO 10000,CARGO,SOLID CARGO,Nov,ATLANTIC REGION,46.25266,53.9738,SEA,0,0,MOVING,AHEAD,INCIDENT,TOTAL FAILURE OF MACHINERY
M17A0435,CANADA,1987,UPTO 100,FISHING,FISHING,Nov,ATLANTIC REGION,43.44378,-65.4291,SEA,0,0,MOVING,AHEAD,ACCIDENT,EXPLOSION
M17A0435,CANADA,1987,UPTO 100,FISHING,FISHING,Nov,ATLANTIC REGION,43.44378,-65.4291,SEA,0,0,MOVING,AHEAD,ACCIDENT,EXPLOSION
M17A0436,CANADA,1985,UPTO 100,FISHING,FISHING,Nov,ATLANTIC REGION,43.355,-65.1216,SEA,0,0,MOVING,AHEAD,INCIDENT,TOTAL FAILURE OF MACHINERY
M17A0437,CANADA,1985,UPTO 100,FISHING,FISHING,Nov,ATLANTIC REGION,43.355,-65.1216,SEA,0,0,MOVING,AHEAD,INCIDENT,TOTAL FAILURE OF MACHINERY
M17A0438,CANADA,1985,UPTO 100,FISHING,FISHING,Nov,ATLANTIC REGION,43.55423,-65.0408,SEA,0,0,MOVING,AHEAD,ACCIDENT,SANK
M17A0439,CANADA,1987,UPTO 100,FISHING,FISHING,Nov,ATLANTIC REGION,43.22145,-65.7057,SEA,0,0,MOVING,AHEAD,INCIDENT,TOTAL FAILURE OF MACHINERY
M17A0440,CANADA,1985,UPTO 100,FISHING,FISHING,Nov,ATLANTIC REGION,43.39866,-65.7031,SEA,0,0,MOVING,AHEAD,INCIDENT,TOTAL FAILURE OF MACHINERY
M17A0441,CANADA,1980,UPTO 100,FISHING,FISHING,Nov,ATLANTIC REGION,44.3,-66.2166,BAY,0,0,MOVING,AHEAD,INCIDENT,TOTAL FAILURE OF MACHINERY
M17A0445,CANADA,1985,UPTO 100,FISHING,FISHING,Dec,ATLANTIC REGION,44.548,-63.5143,SEA,0,0,MOVING,AHEAD,INCIDENT,RISK OF COLLISION
M17A0445,CANADA,1985,UPTO 100,FISHING,FISHING,Dec,ATLANTIC REGION,44.548,-63.5143,SEA,0,0,MOVING,AHEAD,INCIDENT,RISK OF COLLISION
M17A0446,CANADA,1996,UPTO 100,FISHING,FISHING,Dec,ATLANTIC REGION,44.18,-66.3103,BAY,0,0,MOVING,AHEAD,INCIDENT,TOTAL FAILURE OF MACHINERY
