OccNo,VesselName,VesselFlag,VesselType,VesselSubType,GrossTonnage,YearBuilt,YearRebuilt,VesselPhase,VesselActivityType,VesselActivitySubType,VesselLossIND,PrimaryVesselIND,PrimaryAccIncTypeIND,VesselAccIncType,VesselAccIncSubType,PRODUCTION_DT
M05L0121,UNKINC ROUGE,CANADA,SHIPS BOAT,Recreational Craft,,,,UNKNOWN,NOT ENGAGED IN COMMERCIAL ACTIVITY,N/A,NO,NO,YES,RISK OF STRIKING (NEAR ALLISION),RISK OF ALLISION WITH A FIXED OBJECT (STRIKING - INCLUDES VESSELS),2018-08-15T10:01:40
M05L0122,VEGA DESGAGNES,CANADA,CARGO - LIQUID,PRODUCT TANKER,8806.00,1982,,BERTHED/DOCKED,CARRIAGE OF GOODS,N/A,NO,YES,YES,FIRE,N/A,2018-08-15T10:01:40
M05L0123,LOUIS JOLLIET,CANADA,PASSENGER,PASSENGER - CARGO,2437.63,1938,,UNKNOWN,CARRIAGE OF PEOPLE,GENERAL,NO,YES,YES,RISK OF STRIKING (NEAR ALLISION),RISK OF ALLISION WITH A FIXED OBJECT (STRIKING - INCLUDES VESSELS),2018-08-15T10:01:40
M05L0123,UNKINC VOILE LAFLEUR,CANADA,SAILING VESSEL,RIG NOT SPECIFIED,,,,UNKNOWN,NOT ENGAGED IN COMMERCIAL ACTIVITY,N/A,NO,NO,YES,RISK OF STRIKING (NEAR ALLISION),RISK OF ALLISION WITH A FIXED OBJECT (STRIKING - INCLUDES VESSELS),2018-08-15T10:01:40
M05L0124,USHUAIA,PANAMA,SURVEY/RESEARCH,OCEANOGRAPHIC/HYDROGRAPHIC SURVEY,2802.00,1970,,UNDERWAY – not making way/adrift,CARRIAGE OF PEOPLE,GENERAL,NO,YES,YES,GROUNDING,UNDER POWER (NON-INTENTIONAL),2018-08-15T10:01:40
M05L0125,MARTINE KATE,CANADA,FISHING,UNKNOWN,14.78,1983,,UNDERWAY - moving ahead,FISHING,FISHING,NO,YES,YES,RISK OF SINKING,N/A,2018-08-15T10:01:40
M05L0126,JO SPIRIT,LIBERIA,CARGO - LIQUID,PRODUCT/CHEMICAL TANKER,4425.00,1998,,UNDERWAY - unknown,CARRIAGE OF GOODS,N/A,NO,YES,YES,STRIKING,ALLISION WITH A FIXED OBJECT (STRIKING - INCLUDES BERTHED/DOCKED VESSELS),2018-08-15T10:01:40
M05L0127,LUCIEN L.,CANADA,FERRY,OTHER,866.86,1967,,UNDERWAY - unknown,CARRIAGE OF PEOPLE,GENERAL,NO,YES,YES,STRIKING,ALLISION WITH A FIXED OBJECT (STRIKING - INCLUDES BERTHED/DOCKED VESSELS),2018-08-15T10:01:40
M05L0128,PIONNIER 2,CANADA,PASSENGER,PASSENGER ONLY,,,,UNDERWAY - moving ahead,CARRIAGE OF PEOPLE,EXCURSION - WHALE WATCHING,NO,YES,YES,TOTAL FAILURE OF ANY MACHINERY OR TECHNICAL SYSTEM,N/A,2018-08-15T10:01:40
M05L0129,SAMUEL A.,CANADA,FISHING,UNKNOWN,11.14,1988,,UNDERWAY - moving ahead,FISHING,FISHING,NO,YES,YES,TOTAL FAILURE OF ANY MACHINERY OR TECHNICAL SYSTEM,N/A,2018-08-15T10:01:40
M05L0130,AMUNDSEN,CANADA,SERVICE SHIP,ICEBREAKER,5910.42,1978,,BERTHED/DOCKED,SERVICE,RESEARCH,NO,YES,YES,SANK,FOUNDERS (TAKING ON WATER ABOVE THE WATERLINE),2018-08-15T10:01:40
M05L0132,NAVARK AVENTURE,CANADA,PASSENGER,PASSENGER - CARGO,3.92,,,UNKNOWN,CARRIAGE OF PEOPLE,GENERAL,NO,YES,YES,TOTAL FAILURE OF ANY MACHINERY OR TECHNICAL SYSTEM,N/A,2018-08-15T10:01:40
M05L0134,MATHILDA DESGAGNES,CANADA,CARGO - SOLID,GENERAL CARGO,4462.42,1959,,UNDERWAY - unknown,CARRIAGE OF GOODS,N/A,NO,YES,YES,GROUNDING,UNDER POWER (NON-INTENTIONAL),2018-08-15T10:01:40
M05L0135,VAGABON DES MERS,CANADA,FISHING,UNKNOWN,53.86,1982,,UNDERWAY - moving ahead,FISHING,FISHING,NO,YES,YES,TOTAL FAILURE OF ANY MACHINERY OR TECHNICAL SYSTEM,N/A,2018-08-15T10:01:40
M05L0139,RHONE,SAINT VINCENT AND THE GRENADINES,CARGO - LIQUID,PRODUCT TANKER,1599.00,1974,,UNDERWAY - moving ahead,CARRIAGE OF GOODS,N/A,NO,YES,YES,RISK OF STRIKING (NEAR ALLISION),RISK OF ALLISION WITH A FIXED OBJECT (STRIKING - INCLUDES VESSELS),2018-08-15T10:01:40
M05L0139,SOUPIR,CANADA,SAILING VESSEL,RIG NOT SPECIFIED,,,,UNDERWAY - moving ahead,NOT ENGAGED IN COMMERCIAL ACTIVITY,N/A,NO,NO,YES,RISK OF STRIKING (NEAR ALLISION),RISK OF ALLISION WITH A FIXED OBJECT (STRIKING - INCLUDES VESSELS),2018-08-15T10:01:40
M05L0139,UNK/INC (RHONE),CANADA,SAILING VESSEL,RIG NOT SPECIFIED,,,,UNDERWAY - moving ahead,NOT ENGAGED IN COMMERCIAL ACTIVITY,N/A,NO,NO,YES,RISK OF STRIKING (NEAR ALLISION),RISK OF ALLISION WITH A FIXED OBJECT (STRIKING - INCLUDES VESSELS),2018-08-15T10:01:40
M05L0145,STRYMON,GREECE,CARGO - LIQUID,PRODUCT TANKER,30020.00,2005,,UNDERWAY - unknown,CARRIAGE OF GOODS,N/A,NO,YES,YES,BOTTOM CONTACT,N/A,2018-08-15T10:01:40
M05L0153,PANAGIA,LIBERIA,CARGO - SOLID,BULK CARRIER,22046.00,1982,,UNDERWAY - unknown,CARRIAGE OF GOODS,N/A,NO,YES,YES,RISK OF COLLISION (NEAR COLLISION),WITH ANOTHER VESSEL OR OTHER FLOATING OBJECT,2018-08-15T10:01:40
M05L0153,CLIPPER RANGER,BAHAMAS,CARGO - SOLID,CONTAINER SHIP,12900.00,2002,,BERTHED/DOCKED,CARRIAGE OF GOODS,N/A,NO,NO,YES,RISK OF COLLISION (NEAR COLLISION),RISK OF BEING STRUCK,2018-08-15T10:01:40
M05L0154,ORNA,GREECE,CARGO - SOLID,BULK CARRIER,17065.00,1984,,UNDERWAY - moving ahead,CARRIAGE OF GOODS,N/A,NO,YES,YES,RISK OF STRIKING (NEAR ALLISION),RISK OF ALLISION WITH A FIXED OBJECT (STRIKING - INCLUDES VESSELS),2018-08-15T10:01:40
M05L0154,AMERICAN III,UNITED STATES - US,SAILING VESSEL,RIG NOT SPECIFIED,,,,UNKNOWN,NOT ENGAGED IN COMMERCIAL ACTIVITY,N/A,NO,NO,YES,RISK OF STRIKING (NEAR ALLISION),RISK OF ALLISION WITH A FIXED OBJECT (STRIKING - INCLUDES VESSELS),2018-08-15T10:01:40
M05L0154,GLORY B,UNITED STATES - US,SAILING VESSEL,RIG NOT SPECIFIED,,,,UNKNOWN,NOT ENGAGED IN COMMERCIAL ACTIVITY,N/A,NO,NO,YES,RISK OF STRIKING (NEAR ALLISION),RISK OF ALLISION WITH A FIXED OBJECT (STRIKING - INCLUDES VESSELS),2018-08-15T10:01:40
M05L0155,STRYMON,GREECE,CARGO - LIQUID,PRODUCT TANKER,30020.00,2005,,UNDERWAY - moving ahead,CARRIAGE OF GOODS,N/A,NO,YES,YES,RISK OF STRIKING (NEAR ALLISION),RISK OF ALLISION WITH A FIXED OBJECT (STRIKING - INCLUDES VESSELS),2018-08-15T10:01:40
M05L0155,UNK/INC (SAIL BOAT),CANADA,SAILING VESSEL,RIG NOT SPECIFIED,,,,UNDERWAY - moving ahead,NOT ENGAGED IN COMMERCIAL ACTIVITY,N/A,NO,NO,YES,RISK OF STRIKING (NEAR ALLISION),RISK OF ALLISION WITH A FIXED OBJECT (STRIKING - INCLUDES VESSELS),2018-08-15T10:01:40
M05L0164,SURVENANT 3,CANADA,PASSENGER,PASSENGER - CARGO,104.75,,,UNDERWAY - moving ahead,CARRIAGE OF PEOPLE,GENERAL,NO,YES,YES,RISK OF STRIKING (NEAR ALLISION),RISK OF ALLISION WITH A FIXED OBJECT (STRIKING - INCLUDES VESSELS),2018-08-15T10:01:40
M05L0164,CONCEPT 10D8969,CANADA,SHIPS BOAT,Recreational Craft,,,,CIRCUMSTANCES - OTHER,NOT ENGAGED IN COMMERCIAL ACTIVITY,N/A,NO,NO,YES,RISK OF STRIKING (NEAR ALLISION),RISK OF ALLISION WITH A FIXED OBJECT (STRIKING - INCLUDES VESSELS),2018-08-15T10:01:40
M05L0169,MACAREUX 1,CANADA,PASSENGER,PASSENGER ONLY,,,,UNDERWAY - moving ahead,CARRIAGE OF PEOPLE,GENERAL,NO,YES,YES,TOTAL FAILURE OF ANY MACHINERY OR TECHNICAL SYSTEM,N/A,2018-08-15T10:01:40
M05L0178,CAP ROMUALD,GREECE,CARGO - LIQUID,CRUDE TANKER (INCL BITUMEN/ASPHALT),81148.00,1998,,UNDERWAY - moving ahead,CARRIAGE OF GOODS,N/A,NO,YES,YES,TOTAL FAILURE OF ANY MACHINERY OR TECHNICAL SYSTEM,N/A,2018-08-15T10:01:40
M05L0180,C.T.M.A. VACANCIER,CANADA,FERRY,PASSENGER/VEHICLE,11481.00,1973,,UNDERWAY - moving ahead,CARRIAGE OF PEOPLE,GENERAL,NO,YES,YES,PERSON SERIOUSLY INJURED OR KILLED,IN CONTACT WITH ANY PART OF THE SHIP OR ITS CONTENTS,2018-08-15T10:01:40
M05L0183,JACQUES CARTIER,CANADA,PASSENGER,PASSENGER - CARGO,456.85,1924,1975,UNDERWAY - moving ahead,CARRIAGE OF PEOPLE,GENERAL,NO,YES,YES,RISK OF STRIKING (NEAR ALLISION),RISK OF ALLISION WITH A FIXED OBJECT (STRIKING - INCLUDES VESSELS),2018-08-15T10:01:40
M05L0183,BELLE RIVE,CANADA,FERRY,PASSENGER/VEHICLE,24.37,,,UNKNOWN,UNKNOWN,N/A,NO,NO,YES,RISK OF STRIKING (NEAR ALLISION),RISK OF ALLISION WITH A FIXED OBJECT (STRIKING - INCLUDES VESSELS),2018-08-15T10:01:40
M05L0184,LOWLANDS SAGUENAY,PANAMA,CARGO - SOLID,BULK CARRIER,37721.00,1985,,UNDERWAY - unknown,CARRIAGE OF GOODS,N/A,NO,YES,YES,STRIKING,ALLISION WITH A FIXED OBJECT (STRIKING - INCLUDES BERTHED/DOCKED VESSELS),2018-08-15T10:01:40
M05L0184,FEDERAL VENTURE,CHINA,CARGO - SOLID,BULK CARRIER,21469.00,1989,,BERTHED/DOCKED,CARRIAGE OF GOODS,N/A,NO,NO,YES,COLLISION,STRUCK BY VESSEL,2018-08-15T10:01:40
M05L0185,POMORZE ZACHODNIE,POLAND,CARGO - SOLID,BULK CARRIER,16697.00,1985,,ANCHORED,CARRIAGE OF GOODS,N/A,NO,YES,YES,SUSTAINS DAMAGE RENDER UNSEAWORTHY/UNFIT FOR PURPOSE,"UNFIT FOR PURPOSE - ICE, WEATHER, ETC.",2018-08-15T10:01:40
M05L0186,LADY HAMILTON,CHINA (MACAO S.A.R),CARGO - SOLID,BULK CARRIER,22388.00,1983,,BERTHED/DOCKED,CARRIAGE OF GOODS,N/A,NO,YES,YES,BOTTOM CONTACT,N/A,2018-08-15T10:01:40
M05L0187,ELKA DELOS,GREECE,CARGO - LIQUID,PRODUCT TANKER,27530.00,2005,,UNDERWAY - moving ahead,CARRIAGE OF GOODS,N/A,NO,YES,YES,PERSON SERIOUSLY INJURED OR KILLED,IN CONTACT WITH ANY PART OF THE SHIP OR ITS CONTENTS,2018-08-15T10:01:40
M05L0189,FEDERAL ELBE,CYPRUS,CARGO - SOLID,CONTAINER SHIP,22654.00,2003,,UNDERWAY - moving ahead,CARRIAGE OF GOODS,N/A,NO,YES,YES,TOTAL FAILURE OF ANY MACHINERY OR TECHNICAL SYSTEM,N/A,2018-08-15T10:01:40
M05L0191,LE COUDRIER DE L'ISLE,CANADA,SAILING VESSEL,FOR-AND-AFT RIGGED,58.53,2002,,UNDERWAY – not making way/adrift,CARRIAGE OF PEOPLE,EXCURSION,NO,YES,YES,PERSON SERIOUSLY INJURED OR KILLED,IN CONTACT WITH ANY PART OF THE SHIP OR ITS CONTENTS,2018-08-15T10:01:40
M05L0192,MARIA DESGAGNES,CANADA,CARGO - LIQUID,CHEMICAL TANKER,14335.00,1998,,UNDERWAY - moving ahead,CARRIAGE OF GOODS,N/A,NO,YES,YES,COLLISION,WITH ANOTHER VESSEL OR OTHER FLOATING OBJECT,2018-08-15T10:01:40
M05L0192,EL TIO,CANADA,SAILING VESSEL,RIG NOT SPECIFIED,7.00,,,UNDERWAY - moving ahead,NOT ENGAGED IN COMMERCIAL ACTIVITY,N/A,NO,NO,YES,COLLISION,WITH ANOTHER VESSEL OR OTHER FLOATING OBJECT,2018-08-15T10:01:40
M05L0193,RADISSON,CANADA,FERRY,COMBINATION,1182.53,1954,,UNDERWAY - unknown,CARRIAGE OF PEOPLE,GENERAL,NO,YES,YES,RISK OF STRIKING (NEAR ALLISION),RISK OF ALLISION WITH A FIXED OBJECT (STRIKING - INCLUDES VESSELS),2018-08-15T10:01:40
M05L0193,LEY-RO - 13D5931,CANADA,SHIPS BOAT,Recreational Craft,,1975,,UNDERWAY - moving ahead,NOT ENGAGED IN COMMERCIAL ACTIVITY,N/A,NO,NO,YES,RISK OF STRIKING (NEAR ALLISION),RISK OF ALLISION WITH A FIXED OBJECT (STRIKING - INCLUDES VESSELS),2018-08-15T10:01:40
M05L0194,EL TIO,CANADA,SAILING VESSEL,RIG NOT SPECIFIED,7.00,,,UNDERWAY - moving ahead,NOT ENGAGED IN COMMERCIAL ACTIVITY,N/A,NO,YES,YES,RISK OF STRIKING (NEAR ALLISION),RISK OF ALLISION WITH A FIXED OBJECT (STRIKING - INCLUDES VESSELS),2018-08-15T10:01:40
M05L0194,PORT MECHINS,CANADA,SERVICE SHIP,DREDGER/HOPPER,1179.96,1949,,UNDERWAY - moving ahead,SERVICE,WATERWAY MANAGEMENT (INCL BUOYS),NO,NO,YES,RISK OF STRIKING (NEAR ALLISION),RISK OF ALLISION WITH A FIXED OBJECT (STRIKING - INCLUDES VESSELS),2018-08-15T10:01:40
M05L0195,OCEAN FOXTROT,CANADA,SERVICE SHIP,OFFSHORE SUPPORT (INCL. ANCHOR HANDLING/DIVING/STANDBY),699.96,1971,,UNDERWAY - moving ahead,SERVICE,"TOWING, ASSISTING",NO,YES,YES,TOTAL FAILURE OF ANY MACHINERY OR TECHNICAL SYSTEM,N/A,2018-08-15T10:01:40
M05L0196,EL TIO,CANADA,SAILING VESSEL,RIG NOT SPECIFIED,7.00,,,UNDERWAY - moving ahead,NOT ENGAGED IN COMMERCIAL ACTIVITY,N/A,NO,YES,YES,RISK OF STRIKING (NEAR ALLISION),RISK OF ALLISION WITH A FIXED OBJECT (STRIKING - INCLUDES VESSELS),2018-08-15T10:01:40
M05L0196,SEDNA IV,CANADA,SERVICE SHIP,WORKBOAT,394.00,1957,,UNDERWAY - moving ahead,SERVICE,SURVEY,NO,NO,YES,RISK OF STRIKING (NEAR ALLISION),RISK OF ALLISION WITH A FIXED OBJECT (STRIKING - INCLUDES VESSELS),2018-08-15T10:01:40
M05L0197,MARTHA L. BLACK,CANADA,SERVICE SHIP,ICEBREAKER,3818.06,1985,,UNDERWAY – not making way/adrift,SERVICE,PATROL,NO,YES,YES,PERSON SERIOUSLY INJURED OR KILLED,IN CONTACT WITH ANY PART OF THE SHIP OR ITS CONTENTS,2018-08-15T10:01:40
M05L0199,ROTORUA,SAINT VINCENT AND THE GRENADINES,CARGO - SOLID,RO-RO-CARGO,16075.00,1991,,UNDERWAY - moving ahead,CARRIAGE OF GOODS,N/A,NO,YES,YES,FIRE,N/A,2018-08-15T10:01:40
M05L0200,DONALD D. 2,CANADA,FISHING,UNKNOWN,14.00,1975,,UNDERWAY – not under command,FISHING,FISHING,NO,YES,YES,RISK OF SINKING,N/A,2018-08-15T10:01:40
M05L0201,F.C.G. SMITH,CANADA,RESEARCH/SURVEY- OTHER,N/A,429.73,1985,,ANCHORED,GOVERNMENT-GENERAL,N/A,NO,YES,YES,PERSON SERIOUSLY INJURED OR KILLED,IN CONTACT WITH ANY PART OF THE SHIP OR ITS CONTENTS,2018-08-15T10:01:40
M05L0202,FRANCIS ERIC,CANADA,FISHING,UNKNOWN,64.00,1997,,UNDERWAY - moving ahead,FISHING,FISHING,NO,YES,YES,TOTAL FAILURE OF ANY MACHINERY OR TECHNICAL SYSTEM,N/A,2018-08-15T10:01:40
M05L0203,CANADIAN LEADER,CANADA,CARGO - SOLID,BULK CARRIER,18045.19,1967,,UNDERWAY - moving ahead,CARRIAGE OF GOODS,N/A,NO,YES,YES,GROUNDING,NOT UNDER POWER (INCLUDES DRIFTING) (NON-INTENTIONAL),2018-08-15T10:01:40
M05L0203,CANADIAN LEADER,CANADA,CARGO - SOLID,BULK CARRIER,18045.19,1967,,UNDERWAY - moving ahead,CARRIAGE OF GOODS,N/A,NO,YES,NO,SANK,FOUNDERS (TAKING ON WATER ABOVE THE WATERLINE),2018-08-15T10:01:40
M05L0204,CAPE CROW,CANADA,TUG,N/A,14.21,1951,,UNKNOWN,SERVICE,"TOWING, ASSISTING",NO,YES,YES,PERSON SERIOUSLY INJURED OR KILLED,IN CONTACT WITH ANY PART OF THE SHIP OR ITS CONTENTS,2018-08-15T10:01:40
M05L0205,HYDE PARK,LIBERIA,CARGO - LIQUID,PRODUCT TANKER,22103.00,1982,,UNDERWAY - moving ahead,CARRIAGE OF GOODS,N/A,NO,YES,YES,COLLISION,WITH ANOTHER VESSEL OR OTHER FLOATING OBJECT,2018-08-15T10:01:40
M05L0205,CAST PROSPERITY,GERMANY,CARGO - SOLID,CONTAINER SHIP,16324.00,2005,,UNDERWAY - moving ahead,CARRIAGE OF GOODS,N/A,NO,NO,YES,COLLISION,WITH ANOTHER VESSEL OR OTHER FLOATING OBJECT,2018-08-15T10:01:40
M05L0206,C.T.M.A. VACANCIER,CANADA,FERRY,PASSENGER/VEHICLE,11481.00,1973,,UNDERWAY - moving ahead,CARRIAGE OF PEOPLE,GENERAL,NO,YES,YES,TOTAL FAILURE OF ANY MACHINERY OR TECHNICAL SYSTEM,N/A,2018-08-15T10:01:40
M05L0208,OCEAN FOXTROT,CANADA,SERVICE SHIP,OFFSHORE SUPPORT (INCL. ANCHOR HANDLING/DIVING/STANDBY),699.96,1971,,UNDERWAY - moving ahead,SERVICE,"TOWING, ASSISTING",NO,YES,YES,TOTAL FAILURE OF ANY MACHINERY OR TECHNICAL SYSTEM,N/A,2018-08-15T10:01:40
M05L0209,TRACY,CANADA,SERVICE SHIP,BUOY TENDER/RE-SUPPLY,963.43,1968,,UNDERWAY - moving ahead,GOVERNMENT-GENERAL,N/A,NO,YES,YES,RISK OF STRIKING (NEAR ALLISION),RISK OF ALLISION WITH A FIXED OBJECT (STRIKING - INCLUDES VESSELS),2018-08-15T10:01:40
M05L0209,SUN+2,CANADA,SAILING VESSEL,RIG NOT SPECIFIED,,,,UNDERWAY - unknown,NOT ENGAGED IN COMMERCIAL ACTIVITY,N/A,NO,NO,YES,RISK OF STRIKING (NEAR ALLISION),RISK OF ALLISION WITH A FIXED OBJECT (STRIKING - INCLUDES VESSELS),2018-08-15T10:01:40
M05L0212,ALGOSOO,CANADA,CARGO - SOLID,BULK CARRIER,21715.95,1974,,UNDERWAY - moving ahead,CARRIAGE OF GOODS,N/A,NO,YES,YES,RISK OF COLLISION (NEAR COLLISION),WITH ANOTHER VESSEL OR OTHER FLOATING OBJECT,2018-08-15T10:01:40
M05L0213,RT. HON. PAUL J. MARTIN,CANADA,CARGO - SOLID,BULK CARRIER,22774.81,1973,,UNDERWAY - moving ahead,CARRIAGE OF GOODS,N/A,NO,YES,YES,STRIKING,ALLISION WITH A FIXED OBJECT (STRIKING - INCLUDES BERTHED/DOCKED VESSELS),2018-08-15T10:01:40
M05L0215,GAGTUGWAW,CANADA,FISHING,UNKNOWN,69.64,1985,,"UNDER CONSTRUCTION ALONGSIDE, I.E. FITTING OUT",UNKNOWN,N/A,YES,YES,YES,SANK,FLOODING,2018-08-15T10:01:40
M05L0216,G. C. MACDONALD,CANADA,FISHING,UNKNOWN,143.00,1967,,BERTHED/DOCKED,UNKNOWN,N/A,NO,YES,YES,SUSTAINS DAMAGE RENDER UNSEAWORTHY/UNFIT FOR PURPOSE,"UNFIT FOR PURPOSE - ICE, WEATHER, ETC.",2018-08-15T10:01:40
M05L0217,INGRID GORTHON,SWEDEN,CARGO - SOLID,BULK CARRIER,10538.00,1977,,UNDERWAY - unknown,CARRIAGE OF GOODS,N/A,NO,YES,YES,STRIKING,ALLISION WITH A FIXED OBJECT (STRIKING - INCLUDES BERTHED/DOCKED VESSELS),2018-08-15T10:01:40
M05L0218,JOCKER,CANADA,FISHING,UNKNOWN,14.86,2001,,UNDERWAY - moving ahead,FISHING,FISHING,NO,YES,YES,GROUNDING,UNDER POWER (NON-INTENTIONAL),2018-08-15T10:01:40
M05L0219,SIMANDRA,CANADA,FISHING,UNKNOWN,11.00,1982,,UNDERWAY - moving ahead,UNKNOWN,N/A,NO,YES,YES,FIRE,N/A,2018-08-15T10:01:40
M05L0220,F.C.G. SMITH,CANADA,RESEARCH/SURVEY- OTHER,N/A,429.73,1985,,UNDERWAY - moving ahead,SERVICE,RESEARCH,NO,YES,YES,STRIKING,ALLISION WITH A FIXED OBJECT (STRIKING - INCLUDES BERTHED/DOCKED VESSELS),2018-08-15T10:01:40
M05L0221,L'ACADIEN II,CANADA,FISHING,UNKNOWN,34.00,1988,,BERTHED/DOCKED,UNKNOWN,N/A,NO,YES,YES,RISK OF SINKING,N/A,2018-08-15T10:01:40
M05L0222,LAKE EVA,MARSHALL ISLANDS,CARGO - LIQUID,PRODUCT TANKER,10948.00,1989,,BERTHED/DOCKED,CARRIAGE OF GOODS,N/A,NO,YES,YES,TOTAL FAILURE OF ANY MACHINERY OR TECHNICAL SYSTEM,N/A,2018-08-15T10:01:40
M05L0223,FREDERICK G. CREED,CANADA,RESEARCH/SURVEY- OTHER,N/A,151.95,1988,,ANCHORED,GOVERNMENT-GENERAL,N/A,NO,YES,YES,SUSTAINS DAMAGE RENDER UNSEAWORTHY/UNFIT FOR PURPOSE,"UNFIT FOR PURPOSE - ICE, WEATHER, ETC.",2018-08-15T10:01:40
M05L0224,RENUAR,PANAMA,CARGO - SOLID,BULK CARRIER,38520.00,1993,,UNDERWAY - moving ahead,CARRIAGE OF GOODS,N/A,NO,YES,YES,TOTAL FAILURE OF ANY MACHINERY OR TECHNICAL SYSTEM,N/A,2018-08-15T10:01:40
M05L0225,OCEAN FOXTROT,CANADA,SERVICE SHIP,OFFSHORE SUPPORT (INCL. ANCHOR HANDLING/DIVING/STANDBY),699.96,1971,,UNDERWAY - moving ahead,SERVICE,"TOWING, ASSISTING",NO,YES,YES,RISK OF STRIKING (NEAR ALLISION),RISK OF ALLISION WITH A FIXED OBJECT (STRIKING - INCLUDES VESSELS),2018-08-15T10:01:40
M05L0225,EMMANUEL TOMASOS,BAHAMAS,CARGO - LIQUID,PRODUCT/CHEMICAL TANKER,23217.00,2002,,UNDERWAY - moving ahead,CARRIAGE OF GOODS,N/A,NO,NO,YES,RISK OF STRIKING (NEAR ALLISION),RISK OF ALLISION WITH A FIXED OBJECT (STRIKING - INCLUDES VESSELS),2018-08-15T10:01:40
M05L0225,OTM 3072,CANADA,BARGE - UNSPECIFIED,N/A,2706.00,1972,,TOWED/PUSHED (not using own engine),SERVICE,"TOWING, ASSISTING",NO,NO,YES,RISK OF STRIKING (NEAR ALLISION),RISK OF ALLISION WITH A FIXED OBJECT (STRIKING - INCLUDES VESSELS),2018-08-15T10:01:40
M05L0225,TORM ANNE,SINGAPORE,CARGO - LIQUID,PRODUCT TANKER,28932.00,1999,,UNDERWAY - moving ahead,CARRIAGE OF GOODS,N/A,NO,NO,YES,RISK OF STRIKING (NEAR ALLISION),RISK OF ALLISION WITH A FIXED OBJECT (STRIKING - INCLUDES VESSELS),2018-08-15T10:01:40
M05L0226,IVS KWELA,PANAMA,CARGO - SOLID,BULK CARRIER,19872.00,2002,,UNDERWAY - unknown,CARRIAGE OF GOODS,N/A,NO,YES,YES,STRIKING,ALLISION WITH A FIXED OBJECT (STRIKING - INCLUDES BERTHED/DOCKED VESSELS),2018-08-15T10:01:40
M05L0227,MCALLISTER NO. 3,CANADA,BARGE - UNSPECIFIED,N/A,521.23,1956,,BERTHED/DOCKED,UNKNOWN,N/A,NO,YES,YES,COLLISION,STRUCK BY VESSEL,2018-08-15T10:01:40
M05L0227,PRINSENBORG,NETHERLANDS,CARGO - SOLID,CONTAINER SHIP,13340.00,2003,,UNDERWAY - unknown,CARRIAGE OF GOODS,N/A,NO,NO,YES,STRIKING,ALLISION WITH A FIXED OBJECT (STRIKING - INCLUDES BERTHED/DOCKED VESSELS),2018-08-15T10:01:40
M05L0228,PRICELESS,MARSHALL ISLANDS,CARGO - LIQUID,CRUDE TANKER (INCL BITUMEN/ASPHALT),79718.00,1991,,UNKNOWN,CARRIAGE OF GOODS,N/A,NO,YES,YES,SUSTAINS DAMAGE RENDER UNSEAWORTHY/UNFIT FOR PURPOSE,"UNFIT FOR PURPOSE - ICE, WEATHER, ETC.",2018-08-15T10:01:40
M05L0229,FEDERAL VENTURE,CHINA,CARGO - SOLID,BULK CARRIER,21469.00,1989,,,CARRIAGE OF GOODS,N/A,NO,YES,YES,TOTAL FAILURE OF ANY MACHINERY OR TECHNICAL SYSTEM,N/A,2018-08-15T10:01:40
M05L0230,I.V. NO. 11,CANADA,SERVICE SHIP,DREDGER/HOPPER,143.63,1935,1972,UNDERWAY - moving ahead,SERVICE,"TOWING, ASSISTING",NO,YES,YES,COLLISION,WITH ANOTHER VESSEL OR OTHER FLOATING OBJECT,2018-08-15T10:01:40
M05L0230,I.V. NO. 13,CANADA,CARGO - SOLID,GENERAL CARGO,148.35,1936,1973,UNDERWAY - moving ahead,SERVICE,WATERWAY MANAGEMENT (INCL BUOYS),NO,NO,YES,COLLISION,WITH ANOTHER VESSEL OR OTHER FLOATING OBJECT,2018-08-15T10:01:40
M05L0231,FEDERAL MACKINAC,LIBERIA,CARGO - SOLID,CONTAINER SHIP,18825.00,2004,,UNDERWAY - unknown,CARRIAGE OF GOODS,N/A,NO,YES,YES,STRIKING,ALLISION WITH A FIXED OBJECT (STRIKING - INCLUDES BERTHED/DOCKED VESSELS),2018-08-15T10:01:40
M05L0232,OCEAN FOXTROT,CANADA,SERVICE SHIP,OFFSHORE SUPPORT (INCL. ANCHOR HANDLING/DIVING/STANDBY),699.96,1971,,UNDERWAY - moving ahead,SERVICE,"TOWING, ASSISTING",NO,YES,YES,GROUNDING,NOT UNDER POWER (INCLUDES DRIFTING) (NON-INTENTIONAL),2018-08-15T10:01:40
M05L0232,OTM 3072,CANADA,BARGE - UNSPECIFIED,N/A,2706.00,1972,,TOWED/PUSHED (not using own engine),CARRIAGE OF GOODS,N/A,NO,NO,YES,GROUNDING,NOT UNDER POWER (INCLUDES DRIFTING) (NON-INTENTIONAL),2018-08-15T10:01:40
M05L0233,LADY HAMILTON,CHINA (MACAO S.A.R),CARGO - SOLID,BULK CARRIER,22388.00,1983,,UNKNOWN,CARRIAGE OF GOODS,N/A,NO,YES,YES,SUSTAINS DAMAGE RENDER UNSEAWORTHY/UNFIT FOR PURPOSE,"UNFIT FOR PURPOSE - ICE, WEATHER, ETC.",2018-08-15T10:01:40
