OccNo,VesselName,VesselFlag,VesselType,VesselSubType,GrossTonnage,YearBuilt,YearRebuilt,VesselPhase,VesselActivityType,VesselActivitySubType,VesselLossIND,PrimaryVesselIND,PrimaryAccIncTypeIND,VesselAccIncType,VesselAccIncSubType,PRODUCTION_DT
M04C0023,CATHERINE DESGAGNES,CANADA,CARGO - SOLID,GENERAL CARGO,5674.92,1961,,UNDERWAY - moving ahead,CARRIAGE OF GOODS,N/A,NO,YES,YES,TOTAL FAILURE OF ANY MACHINERY OR TECHNICAL SYSTEM,N/A,2018-08-15T10:01:40
M04C0024,VAMAND WAVE,CYPRUS,CARGO - SOLID,BULK CARRIER,16623.00,1985,,UNDERWAY - moving ahead,CARRIAGE OF GOODS,N/A,NO,YES,YES,RISK OF STRIKING (NEAR ALLISION),RISK OF ALLISION WITH A FIXED OBJECT (STRIKING - INCLUDES VESSELS),2018-08-15T10:01:40
M04C0024,LE LEVANT,FRANCE,PASSENGER,PASSENGER - CARGO,3504.00,1998,,UNDERWAY - moving ahead,CARRIAGE OF PEOPLE,GENERAL,NO,NO,YES,RISK OF STRIKING (NEAR ALLISION),RISK OF ALLISION WITH A FIXED OBJECT (STRIKING - INCLUDES VESSELS),2018-08-15T10:01:40
M04C0025,JAMES NORRIS,CANADA,CARGO - SOLID,BULK CARRIER,12962.10,1952,,UNDERWAY - moving astern,CARRIAGE OF GOODS,N/A,NO,YES,YES,STRIKING,ALLISION WITH A FIXED OBJECT (STRIKING - INCLUDES BERTHED/DOCKED VESSELS),2018-08-15T10:01:40
M04C0026,DOWNWIND,CANADA,BARGE - UNSPECIFIED,N/A,,,,UNDERWAY – not under command,CARRIAGE OF PEOPLE,GENERAL,NO,YES,YES,GROUNDING,UNDER POWER (NON-INTENTIONAL),2018-08-15T10:01:40
M04C0027,ALGONORTH,CANADA,CARGO - SOLID,BULK CARRIER,18496.01,1971,1977,UNDERWAY - moving ahead,CARRIAGE OF GOODS,N/A,NO,YES,YES,PERSON OVERBOARD,N/A,2018-08-15T10:01:40
M04C0028,ALGOISLE,CANADA,CARGO - SOLID,BULK CARRIER,18127.04,1963,,UNDERWAY - moving ahead,CARRIAGE OF GOODS,N/A,NO,YES,YES,BOTTOM CONTACT,N/A,2018-08-15T10:01:40
M04C0029,SPIRIT OF ONTARIO,BAHAMAS,CARGO - SOLID,RO-RO-CARGO,6242.00,2003,,UNDERWAY - unknown,CARRIAGE OF PEOPLE,GENERAL,NO,YES,YES,STRIKING,ALLISION WITH A FIXED OBJECT (STRIKING - INCLUDES BERTHED/DOCKED VESSELS),2018-08-15T10:01:40
M04C0030,SPIRIT OF ONTARIO,BAHAMAS,CARGO - SOLID,RO-RO-CARGO,6242.00,2003,,UNDERWAY - unknown,CARRIAGE OF PEOPLE,GENERAL,NO,YES,YES,STRIKING,ALLISION WITH A FIXED OBJECT (STRIKING - INCLUDES BERTHED/DOCKED VESSELS),2018-08-15T10:01:40
M04C0031,BIRCHGLEN,BARBADOS,CARGO - SOLID,BULK CARRIER,21269.00,1983,,UNDERWAY - moving ahead,CARRIAGE OF GOODS,N/A,NO,YES,YES,STRIKING,ALLISION WITH A FIXED OBJECT (STRIKING - INCLUDES BERTHED/DOCKED VESSELS),2018-08-15T10:01:40
M04C0032,GORDON C. LEITCH,CANADA,CARGO - SOLID,BULK CARRIER,19159.91,1968,,UNDERWAY - moving ahead,CARRIAGE OF GOODS,N/A,NO,YES,YES,GROUNDING,NOT UNDER POWER (INCLUDES DRIFTING) (NON-INTENTIONAL),2018-08-15T10:01:40
M04C0032,GORDON C. LEITCH,CANADA,CARGO - SOLID,BULK CARRIER,19159.91,1968,,UNDERWAY - moving ahead,CARRIAGE OF GOODS,N/A,NO,YES,NO,SANK,FOUNDERS (TAKING ON WATER ABOVE THE WATERLINE),2018-08-15T10:01:40
M04C0033,HALIFAX,CANADA,CARGO - SOLID,BULK CARRIER,20645.51,1963,1980,UNDERWAY - moving ahead,CARRIAGE OF GOODS,N/A,NO,YES,YES,GROUNDING,UNDER POWER (NON-INTENTIONAL),2018-08-15T10:01:40
M04C0034,VAMAND WAVE,CYPRUS,CARGO - SOLID,BULK CARRIER,16623.00,1985,,UNDERWAY - moving ahead,CARRIAGE OF GOODS,N/A,NO,YES,YES,STRIKING,ALLISION WITH A FIXED OBJECT (STRIKING - INCLUDES BERTHED/DOCKED VESSELS),2018-08-15T10:01:40
M04C0036,MATHILDA DESGAGNES,CANADA,CARGO - SOLID,GENERAL CARGO,4462.42,1959,,BERTHED/DOCKED,CARRIAGE OF GOODS,N/A,NO,YES,YES,FIRE,N/A,2018-08-15T10:01:40
M04C0037,FEDERAL MAAS,BARBADOS,CARGO - SOLID,BULK CARRIER,20837.00,1997,,UNDERWAY - moving ahead,CARRIAGE OF GOODS,N/A,NO,YES,YES,STRIKING,ALLISION WITH A FIXED OBJECT (STRIKING - INCLUDES BERTHED/DOCKED VESSELS),2018-08-15T10:01:40
M04C0038,NAUTIBUS,CANADA,PASSENGER,AMPHIBIOUS,20.16,2000,,UNDERWAY - moving ahead,CARRIAGE OF PEOPLE,GENERAL,NO,YES,YES,GROUNDING,UNDER POWER (NON-INTENTIONAL),2018-08-15T10:01:40
M04C0039,CUYAHOGA,CANADA,CARGO - SOLID,BULK CARRIER,10532.00,1943,,BERTHED/DOCKED,CARRIAGE OF GOODS,N/A,NO,YES,YES,PERSON (CREW MEMBER) PHYSICAL INCAPACITATION,N/A,2018-08-15T10:01:40
M04C0040,UNK/INC RUNABOUT,CANADA,SAILING VESSEL,UNKNOWN,,,,UNDERWAY - moving ahead,CARRIAGE OF PEOPLE,GENERAL,NO,YES,YES,CAPSIZES,N/A,2018-08-15T10:01:40
M04C0041,JADE STAR,CANADA,CARGO - LIQUID,PRODUCT TANKER,6262.00,1993,,BERTHED/DOCKED,CARRIAGE OF GOODS,N/A,NO,YES,YES,STRIKING,ALLISION WITH A FIXED OBJECT (STRIKING - INCLUDES BERTHED/DOCKED VESSELS),2018-08-15T10:01:40
M04C0042,BLUEBILL,ANTIGUA AND BARBUDA,CARGO - SOLID,BULK CARRIER,22654.00,,,UNDERWAY - moving ahead,CARRIAGE OF GOODS,N/A,NO,YES,YES,RISK OF STRIKING (NEAR ALLISION),RISK OF ALLISION WITH A FIXED OBJECT (STRIKING - INCLUDES VESSELS),2018-08-15T10:01:40
M04C0042,UNK/INC-77002,CANADA,SAILING VESSEL,RIG NOT SPECIFIED,,,,UNDERWAY - moving ahead,NOT ENGAGED IN COMMERCIAL ACTIVITY,N/A,NO,NO,YES,RISK OF STRIKING (NEAR ALLISION),RISK OF ALLISION WITH A FIXED OBJECT (STRIKING - INCLUDES VESSELS),2018-08-15T10:01:40
M04C0043,UNKNOWN - BARGE - UNSPECIFIED,CANADA,BARGE - UNSPECIFIED,N/A,25.00,,,TOWED/PUSHED (not using own engine),CARRIAGE OF PEOPLE,GENERAL,NO,YES,YES,COLLISION,WITH ANOTHER VESSEL OR OTHER FLOATING OBJECT,2018-08-15T10:01:40
M04C0043,RECREATIONAL CRAFT - MOTEUR SEMI-HORS-BORD À ESSENCE,CANADA,SHIPS BOAT,Recreational Craft,2.00,,,TOWED/PUSHED (not using own engine),NOT ENGAGED IN COMMERCIAL ACTIVITY,N/A,NO,NO,YES,COLLISION,WITH ANOTHER VESSEL OR OTHER FLOATING OBJECT,2018-08-15T10:01:40
M04C0044,BARGE A397,UNITED STATES - US,BARGE - CARGO SOLID,BARGE - GENERAL CARGO,2928.00,1962,,TOWED/PUSHED (not using own engine),CARRIAGE OF GOODS,N/A,NO,YES,YES,STRIKING,ALLISION WITH A FIXED OBJECT (STRIKING - INCLUDES BERTHED/DOCKED VESSELS),2018-08-15T10:01:40
M04C0045,ZINNIA SUWALSKI,LIBERIA,CARGO - LIQUID,COMBINATION CARRIER (OBO),,,,UNDERWAY - moving ahead,CARRIAGE OF GOODS,N/A,NO,YES,YES,TOTAL FAILURE OF ANY MACHINERY OR TECHNICAL SYSTEM,N/A,2018-08-15T10:01:40
M04C0046,SANDY GRAHAM,CANADA,FERRY,PASSENGER,212.00,1957,,UNDERWAY - unknown,CARRIAGE OF PEOPLE,GENERAL,NO,YES,YES,STRIKING,ALLISION WITH A FIXED OBJECT (STRIKING - INCLUDES BERTHED/DOCKED VESSELS),2018-08-15T10:01:40
M04C0047,THUNDER CAPE,CANADA,SERVICE SHIP,LIFEBOAT/SEARCH AND RESCUE,33.79,,,UNDERWAY - moving ahead,SERVICE,SAR,NO,YES,YES,STRIKING,ALLISION WITH A FIXED OBJECT (STRIKING - INCLUDES BERTHED/DOCKED VESSELS),2018-08-15T10:01:40
M04C0048,FRONTENAC,CANADA,CARGO - SOLID,BULK CARRIER,17808.49,1968,,UNDERWAY - moving ahead,CARRIAGE OF GOODS,N/A,NO,YES,YES,TOTAL FAILURE OF ANY MACHINERY OR TECHNICAL SYSTEM,N/A,2018-08-15T10:01:40
M04C0049,SPRUCEGLEN,CANADA,CARGO - SOLID,BULK CARRIER,22388.00,1982,,UNDERWAY - moving ahead,CARRIAGE OF GOODS,N/A,NO,YES,YES,PERSON SERIOUSLY INJURED OR KILLED,IN CONTACT WITH ANY PART OF THE SHIP OR ITS CONTENTS,2018-08-15T10:01:40
